step,k,m,w1,w2
1940,2,4,-1.5,-0.5
1941,2,4.1,-1.46341,-0.487805
1942,2,4.2,-1.42857,-0.47619
1943,2,4.3,-1.39535,-0.465116
1944,2,4.4,-1.36364,-0.454545
1945,2,4.5,-1.33333,-0.444444
1946,2,4.6,-1.30435,-0.434783
1947,2,4.7,-1.2766,-0.425532
1948,2,4.8,-1.25,-0.416667
1949,2,4.9,-1.22449,-0.408163
1950,2,5,-1.2,-0.4
1951,2,5.1,-1.17647,-0.392157
1952,2,5.2,-1.15385,-0.384615
1953,2,5.3,-1.13208,-0.377359
1954,2,5.4,-1.11111,-0.37037
1955,2,5.5,-1.09091,-0.363636
1956,2,5.6,-1.07143,-0.357143
1957,2,5.7,-1.05263,-0.350877
1958,2,5.8,-1.03448,-0.344828
1959,2,5.9,-1.01695,-0.338983
1960,2,6,-1,-0.333333
1961,2,6.1,-0.983607,-0.327869
1962,2,6.2,-0.967742,-0.322581
1963,2,6.3,-0.952381,-0.31746
1964,2,6.4,-0.9375,-0.3125
1965,2,6.5,-0.923077,-0.307692
1966,2,6.6,-0.909091,-0.30303
1967,2,6.7,-0.895522,-0.298507
1968,2,6.8,-0.882353,-0.294118
1969,2,6.9,-0.869565,-0.289855
1970,2,7,-0.857143,-0.285714
1971,2,7.1,-0.84507,-0.28169
1972,2,7.2,-0.833333,-0.277778
1973,2,7.3,-0.821918,-0.273973
1974,2,7.4,-0.810811,-0.27027
1975,2,7.5,-0.8,-0.266667
1976,2,7.6,-0.789474,-0.263158
1977,2,7.7,-0.779221,-0.25974
1978,2,7.8,-0.769231,-0.25641
1979,2,7.9,-0.759494,-0.253165
1980,2,8,-0.75,-0.25
1981,2,8.1,-0.740741,-0.246914
1982,2,8.2,-0.731707,-0.243902
1983,2,8.3,-0.722892,-0.240964
1984,2,8.4,-0.714286,-0.238095
1985,2,8.5,-0.705882,-0.235294
1986,2,8.6,-0.697674,-0.232558
1987,2,8.7,-0.689655,-0.229885
1988,2,8.8,-0.681818,-0.227273
1989,2,8.9,-0.674157,-0.224719
1990,2,9,-0.666667,-0.222222
1991,2,9.1,-0.659341,-0.21978
1992,2,9.2,-0.652174,-0.217391
1993,2,9.3,-0.645161,-0.215054
1994,2,9.4,-0.638298,-0.212766
1995,2,9.5,-0.631579,-0.210526
1996,2,9.6,-0.625,-0.208333
1997,2,9.7,-0.618557,-0.206186
1998,2,9.8,-0.612245,-0.204082
1999,2,9.9,-0.606061,-0.20202
2000,2,10,-0.6,-0.2
