Number_of_bodies:3
Number_of_steps:10000
step timestep(s) energy angular_momentum_magnitude L_x L_y L_z body0_radius body0.x body0.y body0.z body1_radius body1.x body1.y body1.z body2_radius body2.x body2.y body2.z
37 3.7 2.09908 1.11022e-16 0 0 1.11022e-16 1.53518 1.4985 0.33359 0 0.930372 -0.922501 -0.120763 0 0.614062 -0.576001 -0.212827 0
38 3.8 2.07846 1.38778e-16 0 0 1.38778e-16 1.53993 1.50631 0.320008 0 0.96177 -0.938534 -0.210135 0 0.578308 -0.567774 -0.109873 0
39 3.9 2.02969 1.94289e-16 0 0 1.94289e-16 1.541 1.51039 0.305637 0 0.995031 -0.949307 -0.298168 0 0.561129 -0.561079 -0.00746954 0
40 4 1.95522 3.05311e-16 0 0 3.05311e-16 1.5384 1.51071 0.290557 0 1.02865 -0.954711 -0.382941 0 0.563625 -0.556002 0.0923839 0
41 4.1 1.86013 4.16334e-16 0 0 4.16334e-16 1.53213 1.50727 0.274854 0 1.06097 -0.954764 -0.462688 0 0.583563 -0.552507 0.187834 0
42 4.2 1.7544 4.996e-16 0 0 4.996e-16 1.52218 1.50005 0.258619 0 1.09055 -0.949697 -0.536064 0 0.616328 -0.550349 0.277445 0
43 4.3 1.65056 3.88578e-16 0 0 3.88578e-16 1.50855 1.48903 0.241941 0 1.11648 -0.939994 -0.60245 0 0.656813 -0.549032 0.360509 0
44 4.4 1.55786 2.77556e-16 0 0 2.77556e-16 1.49126 1.4742 0.224906 0 1.13847 -0.926266 -0.661934 0 0.700877 -0.547937 0.437028 0
45 4.5 1.47993 2.22045e-16 0 0 2.22045e-16 1.47029 1.45556 0.207593 0 1.15656 -0.909075 -0.714987 0 0.745717 -0.546485 0.507394 0
46 4.6 1.41681 2.22045e-16 0 0 2.22045e-16 1.44563 1.43308 0.190076 0 1.17089 -0.888865 -0.762165 0 0.78959 -0.544212 0.572089 0
47 4.7 1.36729 1.94289e-16 0 0 1.94289e-16 1.41725 1.40673 0.172422 0 1.18164 -0.865959 -0.803979 0 0.831441 -0.540767 0.631557 0
48 4.8 1.33009 2.77556e-16 0 0 2.77556e-16 1.38513 1.37646 0.154693 0 1.18895 -0.840581 -0.840854 0 0.870625 -0.535883 0.686161 0
49 4.9 1.30426 4.44089e-16 0 0 4.44089e-16 1.3492 1.34224 0.136946 0 1.19295 -0.812883 -0.873127 0 0.90674 -0.529353 0.736181 0
50 5 1.28923 4.16334e-16 0 0 4.16334e-16 1.30941 1.30397 0.119235 0 1.1937 -0.782957 -0.901058 0 0.939521 -0.521011 0.781823 0
51 5.1 1.28482 4.16334e-16 0 0 4.16334e-16 1.26566 1.26157 0.101609 0 1.19126 -0.750852 -0.924839 0 0.968783 -0.510718 0.82323 0
52 5.2 1.29119 4.71845e-16 0 0 4.71845e-16 1.21784 1.21493 0.0841162 0 1.18565 -0.716578 -0.944603 0 0.99438 -0.498351 0.860486 0
53 5.3 1.30889 3.88578e-16 0 0 3.88578e-16 1.16582 1.16391 0.0667997 0 1.17685 -0.680111 -0.960427 0 1.01618 -0.483797 0.893627 0
54 5.4 1.3389 3.05311e-16 0 0 3.05311e-16 1.10945 1.10834 0.0497003 0 1.16483 -0.641394 -0.972337 0 1.03407 -0.466945 0.922637 0
55 5.5 1.38264 3.05311e-16 0 0 3.05311e-16 1.04854 1.04803 0.0328543 0 1.14953 -0.60034 -0.980307 0 1.0479 -0.447686 0.947453 0
56 5.6 1.44202 3.33067e-16 0 0 3.33067e-16 0.982863 0.982728 0.0162915 0 1.13084 -0.556822 -0.984251 0 1.05752 -0.425906 0.967959 0
57 5.7 1.51927 2.77556e-16 0 0 2.77556e-16 0.912166 0.912166 3.1173e-05 0 1.10864 -0.510676 -0.984015 0 1.06274 -0.40149 0.983984 0
58 5.8 1.61668 3.60822e-16 0 0 3.60822e-16 0.836159 0.836007 -0.0159247 0 1.08273 -0.46169 -0.979365 0 1.06335 -0.374318 0.99529 0
59 5.9 1.73628 3.33067e-16 0 0 3.33067e-16 0.754531 0.753868 -0.0316033 0 1.0529 -0.4096 -0.969959 0 1.05908 -0.344268 1.00156 0
60 6 1.87963 3.88578e-16 0 0 3.88578e-16 0.66698 0.665316 -0.0470802 0 1.01882 -0.354089 -0.955314 0 1.0496 -0.311227 1.00239 0
61 6.1 2.04742 4.996e-16 0 0 4.996e-16 0.573315 0.569897 -0.0625052 0 0.980145 -0.294793 -0.934762 0 1.03452 -0.275104 0.997268 0
62 6.2 2.23792 6.38378e-16 0 0 6.38378e-16 0.473709 0.467222 -0.0781236 0 0.936446 -0.231364 -0.907415 0 1.01337 -0.235859 0.985539 0
63 6.3 2.44383 6.10623e-16 0 0 6.10623e-16 0.369404 0.357181 -0.0942385 0 0.887405 -0.163629 -0.872189 0 0.985619 -0.193552 0.966427 0
64 6.4 2.64984 5.82867e-16 0 0 5.82867e-16 0.264727 0.24033 -0.111006 0 0.833115 -0.0919155 -0.828029 0 0.950691 -0.148414 0.939035 0
65 6.5 2.83697 6.93889e-16 0 0 6.93889e-16 0.174339 0.118243 -0.128111 0 0.774486 -0.0173233 -0.774293 0 0.908029 -0.10092 0.902404 0
